val_loss,val_acc,loss,acc,lr
0.6673905119436596,0.7018348623853211,0.7001813901755625,0.6526946111353572,0.0010000000474974513
0.27261236132284916,0.9174311926605505,0.5225931172242422,0.7544910176071579,0.0010000000474974513
0.22093860695668316,0.9220183486238532,0.39335552928690426,0.8098802391640441,0.0010000000474974513
0.20620486724677436,0.908256880733945,0.26460370242952586,0.8817365265891938,0.0010000000474974513
0.29381191997079675,0.8119266055045872,0.4215745051463921,0.814371257841944,0.0010000000474974513
0.40519288007956034,0.7706422018348624,0.2073496498033672,0.9221556886227545,0.0010000000474974513
0.4001856191818594,0.7889908256880734,0.1873403630682273,0.9236526946107785,0.0010000000474974513
0.14843028150669751,0.9495412844036697,0.16830728091522604,0.9356287425149701,0.0010000000474974513
0.2065003305842348,0.8944954128440367,0.16337232380926967,0.9341317368838602,0.0010000000474974513
0.49206375368942085,0.7614678899082569,0.27075135779238035,0.8877245512551176,0.0010000000474974513
0.34901808016215785,0.8348623853211009,0.1481611565156968,0.938622754491018,0.0010000000474974513
0.2708073781649454,0.908256880733945,0.19329969475636938,0.9236526946107785,0.0010000000474974513
0.22089283613577793,0.8899082568807339,0.1762459017782511,0.9296407185628742,0.0010000000474974513
0.3489530230733489,0.8073394495412844,0.17258865450938304,0.9236526942538644,0.0010000000474974513
0.16473886844864405,0.9357798165137615,0.15193386488555077,0.9341317361700321,0.0010000000474974513
0.208460443537285,0.8807339449541285,0.14178068493074641,0.9416167668239799,0.0010000000474974513
0.5266186441267147,0.8302752293577982,0.1299923980932036,0.9476047904191617,0.0010000000474974513
0.17550259434384158,0.926605504587156,0.13953496596056544,0.9431137724550899,0.0010000000474974513
0.22554329142253204,0.9036697247706422,0.08684022165834904,0.968562874251497,0.00010000000474974513
0.19515479523944881,0.9036697247706422,0.08121337717075548,0.9655688622754491,0.00010000000474974513
0.18908350304470808,0.926605504587156,0.06980738078361143,0.9745508982035929,0.00010000000474974513
0.23064286135021733,0.8990825688073395,0.06472098132913297,0.9790419161676647,0.00010000000474974513
0.19602833552886262,0.908256880733945,0.0685910052608721,0.9745508982035929,0.00010000000474974513
